Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
	1266465.961	1878	391800	1199790.595	222.6116034	8.19746188	162.470285	27.79715161	183.5021574	8.13746188	159.470285	27.36715161	12.58280948	0.017386789	0.902104817	0.147591865	886736.4532	1656	2362950	1177521.804	0.001867522	2.664771468	1.327927593	204.1837115	8.19746188	171.470285	27.72715161	183.0842657	8.12746188	110.470285	27.15715161	194.8145383	8.16621188	165.5466739	27.44763772	4.63765563	0.010830868	10.94428346	0.132149152	293.2305371	0.468973052	-0.131068815	0.095670141	22.33087389	0.404895739
	1071832.46	2460	291450	1199110.436	220.5841639	8.214095675	164.0727823	27.77358473	184.7287814	8.134095675	159.0727823	27.33358473	10.77914508	0.019267282	1.457247779	0.144926757	1058689.168	2287.5	331050.0014	1177092.785	0.002160691	0.312698015	1.111839831	207.144144	8.214095675	168.0727823	27.72358473	183.8329742	8.124095675	164.0727823	27.09358473	198.3174032	8.177498453	165.7880601	27.43789029	4.668634427	0.015741051	1.204090895	0.138779156	248.2789153	0.700756931	1.106669882	0.081465737	16.98911083	0.255041026
	1213804.99	2386.5	1795050	1200229.572	224.1261506	8.213716098	173.0608361	27.79507062	183.0906799	8.143716098	155.0608361	27.37507062	13.09977624	0.021176653	4.011656375	0.149284105	934584.7101	2179.5	1314300	1177441.529	0.002332052	1.406293069	1.259855331	205.3866147	8.193716098	188.0608361	27.73507062	181.5389201	8.123716098	163.0608361	27.14507062	195.1199145	8.174618876	169.7691695	27.44597339	4.506614265	0.014187219	4.841364598	0.137850193	272.6756945	0.736862835	0.420596785	0.204158141	17.20715877	0.277033518
	1141514.733	3146.999999	502950	1199512.052	221.3948515	8.238721722	167.8156168	27.7771966	184.1443517	8.128721722	158.8156168	27.3671966	11.83200235	0.021332113	1.213469515	0.142509213	940873.9432	2156.999998	520350	1177729.234	0.002292549	0.553049645	1.251739665	205.8909022	8.218721722	172.8156168	27.7171966	185.6635405	8.138721722	163.8156168	27.1571966	196.0341268	8.179068944	166.9545057	27.45261327	4.053887832	0.016059905	2.029885494	0.126075097	164.9295351	0.426912978	0.035098311	0.000308867	16.95757606	0.278126719
																																													
	intdayDOXY3	intdaypH3	intdayORP3	intdayTC3	maxdayDOXY3	maxdaypH3	maxdayORP3	maxdayTC3	mindayDOXY3	mindaypH3	mindayORP3	mindayTC3	meandayDOXY3	meandaypH3	meandayORP3	meandayTC3	intDOXY3	intpH3	intORP3	intTC3	ratioDOXY_pH3	ratioDOXY_ORP3	ratioDOXY_TC3	DOXYmax3	pHmax3	ORPmax3	TCmax3	DOXYmin3	pHmin3	ORPmin3	TCmin3	DOXYmean3	pHmean3	ORPmean3	TCmean3	DOXYstd3	pHstd3	ORPstd3	TCstd3	slopesDOXY_pH3	rsqDOXY_pH3	slopesDOXY_ORP3	rsqDOXY_ORP3	slopesDOXY_TC3	rsqDOXY_TC3
	1227836.793	3117	285300	1196431.546	222.3002884	8.215482127	166.5523997	27.70351831	185.1575656	8.135482127	163.5523997	26.97351831	9.776653438	0.020686951	0.947088619	0.123214925	749797.1456	1015.499999	270000	1155589.38	0.001354366	0.360097396	1.541202693	201.4607616	8.185482127	166.5523997	27.21351831	181.8823217	8.135482127	164.5523997	26.83351831	192.7455622	8.159328281	164.895057	27.12610572	4.842564348	0.013682675	0.545208256	0.071243614	336.9944344	0.906643793	1.361285779	0.02348944	0.055789199	6.74E-07
	1306316.727	3290.999985	764100	1196525.132	220.4346976	8.243232408	185.406168	27.71342832	186.133035	8.143232408	163.406168	26.97342832	9.216197973	0.021047217	8.644069288	0.126172611	631165.9765	1976.999999	570150	1155936.546	0.003132298	0.90332816	1.831430384	200.9114065	8.193232408	171.406168	27.23342832	178.6223568	8.143232408	167.406168	26.84342832	191.1283831	8.179665975	167.8047694	27.13412762	5.322560995	0.012582438	0.779489361	0.062704879	405.1519287	0.917326851	3.376994093	0.24459056	5.238595136	0.003808825
	1311304.612	2451	863250	1196510.095	221.6204048	8.24746188	182.470285	27.69715161	183.9873321	8.13746188	159.470285	26.94715161	9.913875147	0.025495375	4.270052586	0.122537029	772921.7623	2851.5	2466000	1155643.658	0.003689248	3.190491095	1.495162531	203.3943513	8.20746188	169.470285	27.21715161	179.0100054	8.16746188	167.470285	26.83715161	192.2424444	8.194384957	168.3583969	27.12722154	5.872432833	0.008978124	0.412906138	0.066528576	548.1152508	0.702229206	6.251236515	0.19319613	8.173079612	0.008573375
	1100957.39	2589	455700	1195757.936	217.5023703	8.214095675	170.0727823	27.69358473	188.0132887	8.134095675	163.0727823	26.94358473	7.833320414	0.020188998	1.204796742	0.128358114	831662.2316	1966.5	469950.0014	1155184.21	0.002364542	0.565073155	1.389006457	202.4153986	8.184095675	171.0727823	27.20358473	181.5234689	8.144095675	167.0727823	26.81358473	193.1348705	8.170249522	169.1007544	27.1165218	5.053909572	0.012329004	0.879693095	0.075515432	390.3469143	0.906781261	-1.416135634	0.060759912	3.008618796	0.002020928
	1219485.698	2403	2662800	1196548.572	220.6309248	8.243716098	206.0608361	27.69507062	188.2495011	8.133716098	158.0608361	26.95507062	9.246487195	0.020682298	14.19535242	0.127717065	820685.7176	1840.5	1300800	1155313.508	0.002242637	1.585016008	1.407741701	201.2776524	8.183716098	189.0608361	27.22507062	181.7411527	8.143716098	157.0608361	26.80507062	192.5587319	8.166932881	169.6202767	27.11954614	5.161075041	0.012924559	9.569333631	0.077973256	383.4899228	0.922272004	0.432188911	0.642140829	-2.139035426	0.001044352
	1235078.221	2827.500001	857700	1196407.052	221.2494348	8.228721722	173.8156168	27.6971966	186.5690767	8.128721722	166.8156168	26.9771966	9.166478006	0.023138694	1.662117867	0.120995712	816974.444	1267.499998	794850	1155810.575	0.001551456	0.97291905	1.41474508	203.3116268	8.188721722	174.8156168	27.2271966	181.1091156	8.128721722	171.8156168	26.8571966	193.2442733	8.158511932	173.4729595	27.13125254	5.780410595	0.016335761	0.722913657	0.067555275	265.9722818	0.56498136	2.192024621	0.075153003	8.99808305	0.011058625
																																													
	intdayDOXY4	intdaypH4	intdayORP4	intdayTC4	maxdayDOXY4	maxdaypH4	maxdayORP4	maxdayTC4	mindayDOXY4	mindaypH4	mindayORP4	mindayTC4	meandayDOXY4	meandaypH4	meandayORP4	meandayTC4																													
	64830.677	132	47850.00001	193720.3318	195.9060886	8.155482127	165.5523997	26.98351831	181.3204516	8.125482127	164.5523997	26.83351831	4.889595435	0.010279429	0.489897947	0.053229065																													
	49226.32778	271.4999978	102600	193821.6839	191.537819	8.173232408	170.406168	26.97342832	178.8648836	8.153232408	167.406168	26.85342832	3.164034171	0.00663325	0.979795897	0.041685329																													
	63792.14517	406.4999999	120300	193738.9916	193.2943675	8.20746188	168.470285	26.97715161	178.8201344	8.17746188	167.470285	26.83715161	4.681719374	0.01036018	0.458257567	0.053385391																													
	57973.65029	177.0000003	103650	193657.8101	196.1985125	8.174095675	170.0727823	26.97358473	181.9164534	8.144095675	169.0727823	26.81358473	4.177086123	0.010033278	0.5	0.056871199																													
	66174.90348	132.0000002	231300	193673.0084	196.4161825	8.163716098	164.0608361	26.97507062	180.105004	8.133716098	155.0608361	26.81507062	4.58804899	0.008981462	2.650157228	0.055157351																													
	66267.32686	217.5000002	175200	193761.8155	196.3372951	8.178721722	173.8156168	26.9771966	180.4508289	8.118721722	171.8156168	26.8371966	4.977558276	0.015811388	0.757187779	0.051316014																													
